EntrezID	GeneSymbol	Synonyms	GeneName	Chromosome
3878	6528	SLC5A5	NIS|TDH1	solute carrier family 5 (sodium/iodide cotransporter), member 5	chr19
3879	6529	SLC6A1	GABATHG|GABATR|GAT1	solute carrier family 6 (neurotransmitter transporter), member 1	chr3
3880	6530	SLC6A2	NAT1|NET|NET1|SLC6A5	solute carrier family 6 (neurotransmitter transporter), member 2	chr16
3881	6531	SLC6A3	DAT|DAT1|PKDYS	solute carrier family 6 (neurotransmitter transporter), member 3	chr5
3882	6532	SLC6A4	5-HTT|5-HTTLPR|5HTT|HTT|OCD1|SERT|SERT1|hSERT	solute carrier family 6 (neurotransmitter transporter), member 4	chr17
3883	6533	SLC6A6	TAUT	solute carrier family 6 (neurotransmitter transporter), member 6	chr3
3884	6534	SLC6A7	PROT	solute carrier family 6 (neurotransmitter transporter), member 7	chr5
3885	6535	SLC6A8	CCDS1|CRT|CRTR|CT1	solute carrier family 6 (neurotransmitter transporter), member 8	chrX
3886	6536	SLC6A9	GLYT1	solute carrier family 6 (neurotransmitter transporter, glycine), member 9	chr1
3887	6538	SLC6A11	GAT-3|GAT3|GAT4	solute carrier family 6 (neurotransmitter transporter), member 11	chr3
3888	6539	SLC6A12	BGT-1|BGT1|GAT2	solute carrier family 6 (neurotransmitter transporter), member 12	chr12
3889	6540	SLC6A13	GAT-2|GAT2|GAT3	solute carrier family 6 (neurotransmitter transporter), member 13	chr12
3890	6541	SLC7A1	ATRC1|CAT-1|ERR|HCAT1|REC1L	solute carrier family 7 (cationic amino acid transporter, y+ system), member 1	chr13
3891	6542	SLC7A2	ATRC2|CAT2|HCAT2	solute carrier family 7 (cationic amino acid transporter, y+ system), member 2	chr8
3892	6543	SLC8A2	NCX2	solute carrier family 8 (sodium/calcium exchanger), member 2	chr19
3893	6545	SLC7A4	CAT-4|CAT4|HCAT3|VH	solute carrier family 7, member 4	chr22
3894	6546	SLC8A1	NCX1	solute carrier family 8 (sodium/calcium exchanger), member 1	chr2
3895	6548	SLC9A1	APNH|NHE-1|NHE1	solute carrier family 9, subfamily A (NHE1, cation proton antiporter 1), member 1	chr1
3896	6549	SLC9A2	NHE2	solute carrier family 9, subfamily A (NHE2, cation proton antiporter 2), member 2	chr2
3897	6550	SLC9A3	NHE3	solute carrier family 9, subfamily A (NHE3, cation proton antiporter 3), member 3	chr5
3898	6553	SLC9A5	NHE5	solute carrier family 9, subfamily A (NHE5, cation proton antiporter 5), member 5	chr16
3899	6554	SLC10A1	NTCP	solute carrier family 10 (sodium/bile acid cotransporter), member 1	chr14
3900	6555	SLC10A2	ASBT|IBAT|ISBT|NTCP2|PBAM	solute carrier family 10 (sodium/bile acid cotransporter), member 2	chr13
3901	6556	SLC11A1	LSH|NRAMP|NRAMP1	solute carrier family 11 (proton-coupled divalent metal ion transporter), member 1	chr2
3902	6557	SLC12A1	BSC1|NKCC2	solute carrier family 12 (sodium/potassium/chloride transporter), member 1	chr15
3903	6558	SLC12A2	BSC|BSC2|NKCC1	solute carrier family 12 (sodium/potassium/chloride transporter), member 2	chr5
3904	6559	SLC12A3	NCC|NCCT|TSC	solute carrier family 12 (sodium/chloride transporter), member 3	chr16
3905	6560	SLC12A4	KCC1	solute carrier family 12 (potassium/chloride transporter), member 4	chr16
3906	6561	SLC13A1	NAS1|NaSi-1	solute carrier family 13 (sodium/sulfate symporter), member 1	chr7
3907	6563	SLC14A1	HUT11|HsT1341|JK|RACH1|RACH2|UT-B1|UT1|UTE	solute carrier family 14 (urea transporter), member 1	chr18
3908	6564	SLC15A1	HPECT1|HPEPT1|PEPT1	solute carrier family 15 (oligopeptide transporter), member 1	chr13
3909	6565	SLC15A2	PEPT2	solute carrier family 15 (oligopeptide transporter), member 2	chr3
3910	6566	SLC16A1	HHF7|MCT|MCT1	solute carrier family 16 (monocarboxylate transporter), member 1	chr1
3911	6567	SLC16A2	AHDS|DXS128|DXS128E|MCT 7|MCT 8|MCT7|MCT8|MRX22|XPCT	solute carrier family 16, member 2 (thyroid hormone transporter)	chrX
3912	6568	SLC17A1	NAPI-1|NPT-1|NPT1	solute carrier family 17 (organic anion transporter), member 1	chr6
3913	6569	SLC34A1	FRTS2|NAPI-3|NPHLOP1|NPT2|NPTIIa|SLC11|SLC17A2	solute carrier family 34 (type II sodium/phosphate contransporter), member 1	chr5
3914	6570	SLC18A1	CGAT|VAT1|VMAT1	solute carrier family 18 (vesicular monoamine transporter), member 1	chr8
3915	6571	SLC18A2	SVAT|SVMT|VAT2|VMAT2	solute carrier family 18 (vesicular monoamine transporter), member 2	chr10
3916	6572	SLC18A3	VACHT	solute carrier family 18 (vesicular acetylcholine transporter), member 3	chr10
3917	6573	SLC19A1	CHMD|FOLT|IFC1|REFC|RFC1	solute carrier family 19 (folate transporter), member 1	chr21
3918	6574	SLC20A1	GLVR1|Glvr-1|PIT1|PiT-1	solute carrier family 20 (phosphate transporter), member 1	chr2
3919	6575	SLC20A2	GLVR-2|GLVR2|IBGC3|MLVAR|PIT-2|PIT2|RAM1	solute carrier family 20 (phosphate transporter), member 2	chr8
3920	6576	SLC25A1	CTP|D2L2AD|SEA|SLC20A3	solute carrier family 25 (mitochondrial carrier; citrate transporter), member 1	chr22
3921	6578	SLCO2A1	MATR1|OATP2A1|PGT|PHOAR2|SLC21A2	solute carrier organic anion transporter family, member 2A1	chr3
3922	6579	SLCO1A2	OATP|OATP-A|OATP1A2|SLC21A3	solute carrier organic anion transporter family, member 1A2	chr12
3923	6580	SLC22A1	HOCT1|OCT1|oct1_cds	solute carrier family 22 (organic cation transporter), member 1	chr6
3924	6581	SLC22A3	EMT|EMTH|OCT3	solute carrier family 22 (organic cation transporter), member 3	chr6
3925	6582	SLC22A2	OCT2	solute carrier family 22 (organic cation transporter), member 2	chr6
3926	6583	SLC22A4	OCTN1	solute carrier family 22 (organic cation/zwitterion transporter), member 4	chr5
3927	6584	SLC22A5	CDSP|OCTN2|OCTN2VT	solute carrier family 22 (organic cation/carnitine transporter), member 5	chr5
3928	6585	SLIT1	MEGF4|SLIL1|SLIT-1|SLIT3	slit homolog 1 (Drosophila)	chr10
3929	6586	SLIT3	MEGF5|SLIL2|SLIT1|Slit-3|slit2	slit homolog 3 (Drosophila)	chr5
3930	6588	SLN	-	sarcolipin	chr11
3931	6590	SLPI	ALK1|ALP|BLPI|HUSI|HUSI-I|MPI|WAP4|WFDC4	secretory leukocyte peptidase inhibitor	chr20
3932	6591	SNAI2	SLUG|SLUGH1|SNAIL2|WS2D	snail family zinc finger 2	chr8
3933	6594	SMARCA1	ISWI|NURF140|SNF2L|SNF2L1|SNF2LB|SNF2LT|SWI|SWI2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1	chrX
3934	6595	SMARCA2	BAF190|BRM|NCBRS|SNF2|SNF2L2|SNF2LA|SWI2|Sth1p|hBRM|hSNF2a	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2	chr9
3935	6596	HLTF	HIP116|HIP116A|HLTF1|RNF80|SMARCA3|SNF2L3|ZBU1	helicase-like transcription factor	chr3
3936	6597	SMARCA4	BAF190|BAF190A|BRG1|MRD16|RTPS2|SNF2|SNF2L4|SNF2LB|SWI2|hSNF2b	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4	chr19
3937	6598	SMARCB1	BAF47|INI1|MRD15|RDT|RTPS1|SNF5|SNF5L1|Sfh1p|Snr1|hSNFS	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1	chr22
3938	6599	SMARCC1	BAF155|CRACC1|Rsc8|SRG3|SWI3	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 1	chr3
3939	6601	SMARCC2	BAF170|CRACC2|Rsc8	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 2	chr12
3940	6602	SMARCD1	BAF60A|CRACD1|Rsc6p	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1	chr12
3941	6603	SMARCD2	BAF60B|CRACD2|Rsc6p	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 2	chr17
3942	6604	SMARCD3	BAF60C|CRACD3|Rsc6p	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3	chr7
3943	6605	SMARCE1	BAF57	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1	chr17
3944	6608	SMO	FZD11|Gx|SMOH	smoothened, frizzled family receptor	chr7
3945	6609	SMPD1	ASM|ASMASE|NPD	sphingomyelin phosphodiesterase 1, acid lysosomal	chr11
3946	6610	SMPD2	ISC1|NSMASE|NSMASE1	sphingomyelin phosphodiesterase 2, neutral membrane (neutral sphingomyelinase)	chr6
3947	6611	SMS	MRSR|SPMSY|SRS|SpS	spermine synthase	chrX
3948	6612	SUMO3	SMT3A|SMT3H1|SUMO-3|Smt3B	small ubiquitin-like modifier 3	chr21
3949	6613	SUMO2	HSMT3|SMT3B|SMT3H2|SUMO3|Smt3A	small ubiquitin-like modifier 2	chr17
3950	6614	SIGLEC1	CD169|SIGLEC-1|SN|dJ1009E24.1	sialic acid binding Ig-like lectin 1, sialoadhesin	chr20
3951	6615	SNAI1	SLUGH2|SNA|SNAH|SNAIL|SNAIL1|dJ710H13.1	snail family zinc finger 1	chr20
3952	6616	SNAP25	RIC-4|RIC4|SEC9|SNAP|SNAP-25|bA416N4.2|dJ1068F16.2	synaptosomal-associated protein, 25kDa	chr20
3953	6617	SNAPC1	PTFgamma|SNAP43	small nuclear RNA activating complex, polypeptide 1, 43kDa	chr14
3954	6618	SNAPC2	PTFDELTA|SNAP45	small nuclear RNA activating complex, polypeptide 2, 45kDa	chr19
3955	6619	SNAPC3	PTFbeta|SNAP50	small nuclear RNA activating complex, polypeptide 3, 50kDa	chr9
3956	6620	SNCB	-	synuclein, beta	chr5
3957	6621	SNAPC4	PTFalpha|SNAP190	small nuclear RNA activating complex, polypeptide 4, 190kDa	chr9
3958	6622	SNCA	NACP|PARK1|PARK4|PD1	synuclein, alpha (non A4 component of amyloid precursor)	chr4
3959	6623	SNCG	BCSG1|SR	synuclein, gamma (breast cancer-specific protein 1)	chr10
3960	6624	FSCN1	FAN1|HSN|SNL|p55	fascin homolog 1, actin-bundling protein (Strongylocentrotus purpuratus)	chr7
3961	6626	SNRPA	Mud1|U1-A|U1A	small nuclear ribonucleoprotein polypeptide A	chr19
3962	6627	SNRPA1	Lea1	small nuclear ribonucleoprotein polypeptide A'	chr15
3963	6628	SNRPB	COD|SNRPB1|Sm-B/B'|SmB/B'|SmB/SmB'|snRNP-B	small nuclear ribonucleoprotein polypeptides B and B1	chr20
3964	6629	SNRPB2	Msl1	small nuclear ribonucleoprotein polypeptide B	chr20
3965	6631	SNRPC	U1C|Yhc1	small nuclear ribonucleoprotein polypeptide C	chr6
3966	6632	SNRPD1	HsT2456|SMD1|SNRPD|Sm-D1	small nuclear ribonucleoprotein D1 polypeptide 16kDa	chr18
3967	6633	SNRPD2	SMD2|SNRPD1|Sm-D2	small nuclear ribonucleoprotein D2 polypeptide 16.5kDa	chr19
3968	6634	SNRPD3	SMD3|Sm-D3	small nuclear ribonucleoprotein D3 polypeptide 18kDa	chr22
3969	6635	SNRPE	B-raf|HYPT11|SME|Sm-E	small nuclear ribonucleoprotein polypeptide E	chr1
3970	6636	SNRPF	SMF|Sm-F|snRNP-F	small nuclear ribonucleoprotein polypeptide F	chr12
3971	6637	SNRPG	SMG|Sm-G	small nuclear ribonucleoprotein polypeptide G	chr2
3972	6638	SNRPN	HCERN3|PWCR|RT-LI|SM-D|SMN|SNRNP-N|SNURF-SNRPN|sm-N	small nuclear ribonucleoprotein polypeptide N	chr15
3973	6640	SNTA1	LQT12|SNT1|TACIP1|dJ1187J4.5	syntrophin, alpha 1	chr20
3974	6641	SNTB1	59-DAP|A1B|BSYN2|DAPA1B|SNT2|SNT2B1|TIP-43	syntrophin, beta 1 (dystrophin-associated protein A1, 59kDa, basic component 1)	chr8
3975	6642	SNX1	HsT17379|VPS5	sorting nexin 1	chr15
3976	6643	SNX2	TRG-9	sorting nexin 2	chr5
3977	6645	SNTB2	D16S2531E|EST25263|SNT2B2|SNT3|SNTL	syntrophin, beta 2 (dystrophin-associated protein A1, 59kDa, basic component 2)	chr16
3978	6646	SOAT1	ACACT|ACAT|ACAT-1|ACAT1|SOAT|STAT	sterol O-acyltransferase 1	chr1
3979	6647	SOD1	ALS|ALS1|IPOA|SOD|hSod1|homodimer	superoxide dismutase 1, soluble	chr21
3980	6648	SOD2	IPOB|MNSOD|MVCD6	superoxide dismutase 2, mitochondrial	chr6
3981	6649	SOD3	EC-SOD	superoxide dismutase 3, extracellular	chr4
3982	6650	SOLH	SOLH	calpain 15	chr16
3983	6651	SON	BASS1|C21orf50|DBP-5|NREBP|SON3	SON DNA binding protein	chr21
3984	6652	SORD	SORD1	sorbitol dehydrogenase	chr15
3985	6653	SORL1	C11orf32|LR11|LRP9|SORLA|SorLA-1|gp250	sortilin-related receptor, L(DLR class) A repeats containing	chr11
3986	6655	SOS2	-	son of sevenless homolog 2 (Drosophila)	chr14
3987	6656	SOX1	-	SRY (sex determining region Y)-box 1	chr13
3988	6657	SOX2	ANOP3|MCOPS3	SRY (sex determining region Y)-box 2	chr3
3989	6658	SOX3	GHDX|MRGH|PHP|PHPX|SOXB	SRY (sex determining region Y)-box 3	chrX
3990	6659	SOX4	EVI16	SRY (sex determining region Y)-box 4	chr6
3991	6660	SOX5	L-SOX5	SRY (sex determining region Y)-box 5	chr12
3992	6662	SOX9	CMD1|CMPD1|SRA1	SRY (sex determining region Y)-box 9	chr17
3993	6663	SOX10	DOM|PCWH|WS2E|WS4|WS4C	SRY (sex determining region Y)-box 10	chr22
3994	6664	SOX11	-	SRY (sex determining region Y)-box 11	chr2
3995	6665	SOX15	SOX20|SOX26|SOX27	SRY (sex determining region Y)-box 15	chr17
3996	6666	SOX12	SOX22	SRY (sex determining region Y)-box 12	chr20
3997	6667	SP1	-	Sp1 transcription factor	chr12
3998	6668	SP2	-	Sp2 transcription factor	chr17
3999	6670	SP3	SPR2	Sp3 transcription factor	chr2
4000	6671	SP4	HF1B|SPR-1	Sp4 transcription factor	chr7
4001	6672	SP100	lysp100b	SP100 nuclear antigen	chr2
4002	6674	SPAG1	HSD-3.8|SP75|TPIS	sperm associated antigen 1	chr8
4003	6675	UAP1	AGX|AGX1|AGX2|SPAG2	UDP-N-acteylglucosamine pyrophosphorylase 1	chr1
4004	6676	SPAG4	CT127|SUN4	sperm associated antigen 4	chr20
4005	6677	SPAM1	HYA1|HYAL1|HYAL3|HYAL5|PH-20|PH20|SPAG15	sperm adhesion molecule 1 (PH-20 hyaluronidase, zona pellucida binding)	chr7
4006	6678	SPARC	ON	secreted protein, acidic, cysteine-rich (osteonectin)	chr5
4007	6683	SPAST	ADPSP|FSP2|SPG4	spastin	chr2
4008	6687	SPG7	CAR|CMAR|PGN|SPG5C	spastic paraplegia 7 (pure and complicated autosomal recessive)	chr16
4009	6688	SPI1	OF|PU.1|SFPI1|SPI-1|SPI-A	spleen focus forming virus (SFFV) proviral integration oncogene	chr11
4010	6689	SPIB	SPI-B	Spi-B transcription factor (Spi-1/PU.1 related)	chr19
4011	6690	SPINK1	PCTT|PSTI|Spink3|TATI|TCP	serine peptidase inhibitor, Kazal type 1	chr5
4012	6691	SPINK2	HUSI-II	serine peptidase inhibitor, Kazal type 2 (acrosin-trypsin inhibitor)	chr4
4013	6692	SPINT1	HAI|HAI1|MANSC2	serine peptidase inhibitor, Kunitz type 1	chr15
4014	6693	SPN	CD43|GALGP|GPL115|LSN	sialophorin	chr16
4015	6694	SPP2	SPP-24|SPP24	secreted phosphoprotein 2, 24kDa	chr2
4016	6695	SPOCK1	SPOCK|TESTICAN|TIC1	sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 1	chr5
4017	6696	SPP1	BNSP|BSPI|ETA-1|OPN	secreted phosphoprotein 1	chr4
4018	6697	SPR	SDR38C1	sepiapterin reductase (7,8-dihydrobiopterin:NADP+ oxidoreductase)	chr2
4019	6698	SPRR1A	SPRK	small proline-rich protein 1A	chr1
4020	6699	SPRR1B	CORNIFIN|GADD33|SPRR1	small proline-rich protein 1B	chr1
4021	6707	SPRR3	-	small proline-rich protein 3	chr1
4022	6708	SPTA1	EL2|HPP|HS3|SPH3|SPTA	spectrin, alpha, erythrocytic 1 (elliptocytosis 2)	chr1
4023	6709	SPTAN1	EIEE5|NEAS|SPTA2	spectrin, alpha, non-erythrocytic 1	chr9
4024	6710	SPTB	EL3|HS2|HSPTB1|SPH2	spectrin, beta, erythrocytic	chr14
4025	6711	SPTBN1	ELF|SPTB2|betaSpII	spectrin, beta, non-erythrocytic 1	chr2
4026	6712	SPTBN2	GTRAP41|SCA5	spectrin, beta, non-erythrocytic 2	chr11
4027	6713	SQLE	-	squalene epoxidase	chr8
4028	6714	SRC	ASV|SRC1|c-SRC|p60-Src	v-src avian sarcoma (Schmidt-Ruppin A-2) viral oncogene homolog	chr20
4029	6715	SRD5A1	S5AR 1	steroid-5-alpha-reductase, alpha polypeptide 1 (3-oxo-5 alpha-steroid delta 4-dehydrogenase alpha 1)	chr5
4030	6716	SRD5A2	-	steroid-5-alpha-reductase, alpha polypeptide 2 (3-oxo-5 alpha-steroid delta 4-dehydrogenase alpha 2)	chr2
4031	6717	SRI	CP-22|CP22|SCN|V19	sorcin	chr7
4032	6718	AKR1D1	3o5bred|CBAS2|SRD5B1	aldo-keto reductase family 1, member D1	chr7
4033	6720	SREBF1	SREBP-1c|SREBP1|bHLHd1	sterol regulatory element binding transcription factor 1	chr17
4034	6721	SREBF2	SREBP-2|SREBP2|bHLHd2	sterol regulatory element binding transcription factor 2	chr22
4035	6722	SRF	MCM1	serum response factor (c-fos serum response element-binding transcription factor)	chr6
4036	6723	SRM	PAPT|SPDSY|SPS1|SRML1	spermidine synthase	chr1
4037	6727	SRP14	ALURBP	signal recognition particle 14kDa (homologous Alu RNA binding protein)	chr15
4038	6728	SRP19	-	signal recognition particle 19kDa	chr5
4039	6729	SRP54	-	signal recognition particle 54kDa	chr14
4040	6731	SRP72	BMFF	signal recognition particle 72kDa	chr4
4041	6732	SRPK1	SFRSK1	SRSF protein kinase 1	chr6
4042	6733	SRPK2	SFRSK2	SRSF protein kinase 2	chr7
4043	6734	SRPR	DP|Sralpha	signal recognition particle receptor (docking protein)	chr11
4044	6737	TRIM21	RNF81|RO52|SSA|SSA1	tripartite motif containing 21	chr11
4045	6738	TROVE2	RO60|RORNP|SSA2	TROVE domain family, member 2	chr1
4046	6741	SSB	LARP3|La	Sjogren syndrome antigen B (autoantigen La)	chr2
4047	6742	SSBP1	Mt-SSB|SOSS-B1|SSBP|mtSSB	single-stranded DNA binding protein 1, mitochondrial	chr7
4048	6744	SSFA2	CS-1|CS1|KRAP|SPAG13	sperm specific antigen 2	chr2
4049	6745	SSR1	TRAPA	signal sequence receptor, alpha	chr6
4050	6746	SSR2	TLAP|TRAP-BETA|TRAPB	signal sequence receptor, beta (translocon-associated protein beta)	chr1
4051	6747	SSR3	TRAPG	signal sequence receptor, gamma (translocon-associated protein gamma)	chr3
4052	6748	SSR4	TRAPD	signal sequence receptor, delta	chrX
4053	6749	SSRP1	FACT|FACT80|T160	structure specific recognition protein 1	chr11
4054	6750	SST	SMST	somatostatin	chr3
4055	6751	SSTR1	SRIF-2|SS-1-R|SS1-R|SS1R	somatostatin receptor 1	chr14
4056	6752	SSTR2	-	somatostatin receptor 2	chr17
4057	6753	SSTR3	SS-3-R|SS3-R|SS3R|SSR-28	somatostatin receptor 3	chr22
4058	6754	SSTR4	SS-4-R|SS4-R|SS4R	somatostatin receptor 4	chr20
4059	6756	SSX1	CT5.1|SSRC	synovial sarcoma, X breakpoint 1	chrX
4060	6757	SSX2	CT5.2|CT5.2A|HD21|HOM-MEL-40|SSX	synovial sarcoma, X breakpoint 2	chrX
4061	6758	SSX5	-	synovial sarcoma, X breakpoint 5	chrX
4062	6760	SS18	SSXT|SYT	synovial sarcoma translocation, chromosome 18	chr18
4063	6764	ST5	DENND2B|HTS1|p126	suppression of tumorigenicity 5	chr11
4064	6767	ST13	AAG2|FAM10A1|FAM10A4|HIP|HOP|HSPABP|HSPABP1|P48|PRO0786|SNC6	suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein)	chr22
4065	6768	ST14	HAI|MT-SP1|MTSP1|PRSS14|SNC19|TADG15|TMPRSS14	suppression of tumorigenicity 14 (colon carcinoma)	chr11
4066	6769	STAC	STAC1	SH3 and cysteine rich domain	chr3
4067	6770	STAR	STARD1	steroidogenic acute regulatory protein	chr8
4068	6772	STAT1	CANDF7|ISGF-3|STAT91	signal transducer and activator of transcription 1, 91kDa	chr2
4069	6773	STAT2	ISGF-3|P113|STAT113	signal transducer and activator of transcription 2, 113kDa	chr12
4070	6774	STAT3	APRF|HIES	signal transducer and activator of transcription 3 (acute-phase response factor)	chr17
4071	6775	STAT4	SLEB11	signal transducer and activator of transcription 4	chr2
4072	6776	STAT5A	MGF|STAT5	signal transducer and activator of transcription 5A	chr17
4073	6777	STAT5B	STAT5	signal transducer and activator of transcription 5B	chr17
4074	6778	STAT6	D12S1644|IL-4-STAT|STAT6B|STAT6C	signal transducer and activator of transcription 6, interleukin-4 induced	chr12
4075	6779	STATH	STR	statherin	chr4
4076	6780	STAU1	STAU	staufen double-stranded RNA binding protein 1	chr20
4077	6781	STC1	STC	stanniocalcin 1	chr8
4078	6783	SULT1E1	EST|EST-1|ST1E1|STE	sulfotransferase family 1E, estrogen-preferring, member 1	chr4
4079	6785	ELOVL4	ADMD|CT118|ISQMR|STGD2|STGD3	ELOVL fatty acid elongase 4	chr6
4080	6786	STIM1	D11S4896E|GOK|TAM	stromal interaction molecule 1	chr11
4081	6787	NEK4	NRK2|STK2|pp12301	NIMA-related kinase 4	chr3
4082	6788	STK3	KRS1|MST2	serine/threonine kinase 3	chr8
4083	6789	STK4	KRS2|MST1|TIIAC|YSK3	serine/threonine kinase 4	chr20
4084	6790	AURKA	AIK|ARK1|AURA|AURORA2|BTAK|PPP1R47|STK15|STK6|STK7	aurora kinase A	chr20
4085	6792	CDKL5	EIEE2|ISSX|STK9	cyclin-dependent kinase-like 5	chrX
4086	6793	STK10	LOK|PRO2729	serine/threonine kinase 10	chr5
4087	6794	STK11	LKB1|PJS|hLKB1	serine/threonine kinase 11	chr19
4088	6795	AURKC	AIE2|AIK3|ARK3|AurC|SPGF5|STK13|aurora-C	aurora kinase C	chr19
4089	6799	SULT1A2	HAST4|P-PST|ST1A2|STP2|TSPST2	sulfotransferase family, cytosolic, 1A, phenol-preferring, member 2	chr16
4090	6801	STRN	SG2NA	striatin, calmodulin binding protein	chr2
4091	6804	STX1A	HPC-1|P35-1|STX1|SYN1A	syntaxin 1A (brain)	chr7
4092	6809	STX3	STX3A	syntaxin 3	chr11
4093	6810	STX4	STX4A|p35-2	syntaxin 4	chr16
4094	6811	STX5	SED5|STX5A	syntaxin 5	chr11
4095	6812	STXBP1	MUNC18-1|NSEC1|P67|RBSEC1|UNC18	syntaxin binding protein 1	chr9
4096	6813	STXBP2	FHL5|Hunc18b|MUNC18-2|UNC18-2|UNC18B|pp10122	syntaxin binding protein 2	chr19
4097	6814	STXBP3	MUNC18-3|MUNC18C|PSP|UNC-18C	syntaxin binding protein 3	chr1
4098	6817	SULT1A1	HAST1/HAST2|P-PST|PST|ST1A1|ST1A3|STP|STP1|TSPST1	sulfotransferase family, cytosolic, 1A, phenol-preferring, member 1	chr16
4099	6819	SULT1C2	ST1C1|ST1C2|SULT1C1|humSULTC2	sulfotransferase family, cytosolic, 1C, member 2	chr2
4100	6820	SULT2B1	HSST2	sulfotransferase family, cytosolic, 2B, member 1	chr19
4101	6821	SUOX	-	sulfite oxidase	chr12
4102	6822	SULT2A1	DHEA-ST|DHEAS|HST|ST2|ST2A1|ST2A3|STD|hSTa	sulfotransferase family, cytosolic, 2A, dehydroepiandrosterone (DHEA)-preferring, member 1	chr19
4103	6827	SUPT4H1	SPT4|SPT4H|SUPT4H	suppressor of Ty 4 homolog 1 (S. cerevisiae)	chr17
4104	6829	SUPT5H	SPT5|SPT5H|Tat-CT1	suppressor of Ty 5 homolog (S. cerevisiae)	chr19
4105	6830	SUPT6H	SPT6|SPT6H|emb-5	suppressor of Ty 6 homolog (S. cerevisiae)	chr17
4106	6832	SUPV3L1	SUV3	suppressor of var1, 3-like 1 (S. cerevisiae)	chr10
4107	6833	ABCC8	ABC36|HHF1|HI|HRINS|MRP8|PHHI|SUR|SUR1|SUR1delta2|TNDM2	ATP-binding cassette, sub-family C (CFTR/MRP), member 8	chr11
4108	6834	SURF1	-	surfeit 1	chr9
4109	6835	SURF2	SURF-2	surfeit 2	chr9
4110	6839	SUV39H1	KMT1A|MG44|SUV39H	suppressor of variegation 3-9 homolog 1 (Drosophila)	chrX
4111	6840	SVIL	-	supervillin	chr10
4112	6843	VAMP1	SYB1|VAMP-1	vesicle-associated membrane protein 1 (synaptobrevin 1)	chr12
4113	6844	VAMP2	SYB2|VAMP-2	vesicle-associated membrane protein 2 (synaptobrevin 2)	chr17
4114	6847	SYCP1	CT8|HOM-TES-14|SCP1	synaptonemal complex protein 1	chr1
4115	6850	SYK	p72-Syk	spleen tyrosine kinase	chr9
4116	6853	SYN1	SYN1a|SYN1b|SYNI	synapsin I	chrX
4117	6854	SYN2	SYNII|SYNIIa|SYNIIb	synapsin II	chr3
4118	6855	SYP	MRXSYP	synaptophysin	chrX
4119	6856	SYPL1	H-SP1|SYPL	synaptophysin-like 1	chr7
4120	6857	SYT1	P65|SVP65|SYT	synaptotagmin I	chr12
4121	6861	SYT5	-	synaptotagmin V	chr19
4122	6862	T	TFT	T, brachyury homolog (mouse)	chr6
4123	6863	TAC1	Hs.2563|NK2|NKNA|NPK|TAC2	tachykinin, precursor 1	chr7
4124	6865	TACR2	NK2R|NKNAR|SKR|TAC2R	tachykinin receptor 2	chr10
4125	6866	TAC3	HH10|NKB|NKNB|PRO1155|ZNEUROK1	tachykinin 3	chr12
4126	6867	TACC1	Ga55	transforming, acidic coiled-coil containing protein 1	chr8
4127	6868	ADAM17	ADAM18|CD156B|CSVP|NISBD|TACE	ADAM metallopeptidase domain 17	chr2
4128	6869	TACR1	NK1R|NKIR|SPR|TAC1R	tachykinin receptor 1	chr2
4129	6870	TACR3	HH11|NK-3R|NK3R|NKR|TAC3RL	tachykinin receptor 3	chr4
4130	6872	TAF1	BA2R|CCG1|CCGS|DYT3|DYT3/TAF1|KAT4|N-TAF1|NSCL2|OF|P250|TAF2A|TAFII250|XDP	TAF1 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 250kDa	chrX
4131	6873	TAF2	CIF150|TAF2B|TAFII150	TAF2 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 150kDa	chr8
4132	6874	TAF4	TAF2C|TAF2C1|TAF4A|TAFII130|TAFII135	TAF4 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 135kDa	chr20
4133	6875	TAF4B	TAF2C2|TAFII105	TAF4b RNA polymerase II, TATA box binding protein (TBP)-associated factor, 105kDa	chr18
4134	6876	TAGLN	SM22|SMCC|TAGLN1|WS3-10	transgelin	chr11
4135	6877	TAF5	TAF2D|TAFII100	TAF5 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 100kDa	chr10
4136	6879	TAF7	TAF2F|TAFII55	TAF7 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 55kDa	chr5
